Unnamed: 0,封面,书名,豆瓣链接,作者,译者,出版社,出版日期,价格,评分,评分人数,一句话评价,小说,散文随笔,传记,历史,心理学,文化,艺术,人文社科,政治军事,经济管理,科普读物,计算机与互联网,社会学,哲学,诗歌
157,https://img1.doubanio.com/view/subject/s/public/s2652540.jpg,草房子,https://book.douban.com/subject/1052990/,曹文轩 ,, 江苏少年儿童出版社 , 2009-6 , 18.00元,9,47447,男孩桑桑刻骨铭心、终身难忘的六年小学生活,,,,,,,,,,,,,,,
158,https://img1.doubanio.com/view/subject/s/public/s27914268.jpg,强风吹拂,https://book.douban.com/subject/26210487/,三浦紫苑 , 林佩瑾 , 广西师范大学出版社 , 2015-1-1 , 39.00元,9,23229,明明这么痛苦，这么难过，为什么就是不能放弃跑步？,,,,,,,,,,,,,,,
159,https://img1.doubanio.com/view/subject/s/public/s5763939.jpg,安娜·卡列尼娜,https://book.douban.com/subject/2253380/,[俄] 列夫·托尔斯泰 , 草婴 , 上海文艺出版社 , 2007-8 , 37.00元,9.2,25173,,,,,,,,,,,,,,,,
160,https://img1.doubanio.com/view/subject/s/public/s6180859.jpg,我的阿勒泰,https://book.douban.com/subject/4884218/,李娟 ,, 云南人民出版社 , 2010-7 , 22.00元,8.9,25742,描写疆北阿勒泰地区生活和风情的原生态散文集,,,,,,,,,,,,,,,
161,https://img2.doubanio.com/view/subject/s/public/s32330891.jpg,2001：太空漫游,https://book.douban.com/subject/30471298/,[英] 阿瑟·克拉克 , 郝明义 , 上海文艺出版社 , 2019-5-10 , 62.00元,9.3,18368,,,,,,,,,,,,,,,,
162,https://img2.doubanio.com/view/subject/s/public/s1137441.jpg,麦琪的礼物,https://book.douban.com/subject/1051193/,[美] 欧·亨利 , 张经浩 , 上海社会科学院出版社 , 2003-7 , 25.00元,8.7,73131,日常的奇迹,,,,,,,,,,,,,,,
163,https://img2.doubanio.com/view/subject/s/public/s1670932.jpg,社会心理学,https://book.douban.com/subject/1476651/,[美] 戴维·迈尔斯 , 张智勇 , 人民邮电出版社 , 2006-1 , 68.00元,9,25716,人们是如何思索、影响他人并与他人建立联系的,,,,,,,,,,,,,,,
164,https://img1.doubanio.com/view/subject/s/public/s4638950.jpg,倾城之恋,https://book.douban.com/subject/1985223/,张爱玲 ,, 北京十月文艺出版社 , 2006-12 , 29.80元,8.7,49758,“一对平凡的夫妻”之间的“一点真心”,,,,,,,,,,,,,,,
165,https://img9.doubanio.com/view/subject/s/public/s2170315.jpg,我也有一个梦想,https://book.douban.com/subject/1014825/,林达 ,, 生活·读书·新知三联书店 , 2004-08 , 25.00元,9,15481,在法治国家里，民众怎样运用法律,,,,,,,,,,,,,,,
166,https://img9.doubanio.com/view/subject/s/public/s29827014.jpg,恶意,https://book.douban.com/subject/26877752/,[日] 东野圭吾 , 娄美莲 , 南海出版公司 , 2016-11 , 39.50元,8.7,105155,,,,,,,,,,,,,,,,
167,https://img1.doubanio.com/view/subject/s/public/s10431840.jpg,激荡三十年（上）,https://book.douban.com/subject/1970428/,吴晓波 ,, 中信出版社 浙江人民出版社 , 2007-1 ,35,8.8,30866,这是一个最好的时代，也是一个最坏的时代,,,,,,,,,,,,,,,
168,https://img2.doubanio.com/view/subject/s/public/s1681072.jpg,天朝的崩溃,https://book.douban.com/subject/1675478/,茅海建 ,, 生活·读书·新知三联书店 , 2005-7 , 32.00元,9.2,14306,鸦片战争再研究,,,,,,,,,,,,,,,
169,https://img2.doubanio.com/view/subject/s/public/s28061231.jpg,海风中失落的血色馈赠,https://book.douban.com/subject/26357614/,[加拿大] 阿利斯泰尔·麦克劳德 , 陈以侃 , 上海文艺出版社 , 2015-6-1 , CNY 20.00,9,18652,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟,,,,,,,,,,,,,,,
170,https://img9.doubanio.com/view/subject/s/public/s27218035.jpg,冰与火之歌,https://book.douban.com/subject/25826936/,乔治·马丁 , 谭光磊 , 重庆出版社 , 2013-10-1 , 330.00元,9.5,16626,乔治·R·R·马丁史诗奇幻小说,,,,,,,,,,,,,,,
171,https://img9.doubanio.com/view/subject/s/public/s2280094.jpg,浮生六记,https://book.douban.com/subject/1088581/,（清）沈复 ,, 人民文学出版社 , 1999-1 ,38,8.7,67384,苟不记之笔墨，未免有辜彼苍之厚,,,,,,,,,,,,,,,
172,https://img1.doubanio.com/view/subject/s/public/s1520169.jpg,九州·缥缈录,https://book.douban.com/subject/1321017/,江南 ,, 新世界出版社 , 2005-6 , 20.00元,8.8,30935,乱世的英雄史诗,,,,,,,,,,,,,,,
173,https://img1.doubanio.com/view/subject/s/public/s33503989.jpg,一间只属于自己的房间,https://book.douban.com/subject/34835082/,[英] 弗吉尼亚·伍尔夫 , 周颖琪 , 天津人民出版社 , 2019-10 , 45.00元,9.2,17664,,,,,,,,,,,,,,,,
174,https://img1.doubanio.com/view/subject/s/public/s10199588.jpg,半生缘,https://book.douban.com/subject/10757938/,张爱玲 ,, 北京十月文艺出版社 , 2012-6-1 , 29.60元,9.1,26794,,,,,,,,,,,,,,,,
175,https://img9.doubanio.com/view/subject/s/public/s4124434.jpg,孩子你慢慢来,https://book.douban.com/subject/4207781/,龙应台 ,, 生活·读书·新知三联书店 , 2009-12-1 , 28.00元,8.7,77493,我们现在怎样做母亲,,,,,,,,,,,,,,,
176,https://img9.doubanio.com/view/subject/s/public/s4093514.jpg,万物有灵且美,https://book.douban.com/subject/4187411/,[英] 吉米·哈利 , 种衍伦 , 中国城市出版社 , 2010-1 ,28.8,8.9,22235,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事,,,,,,,,,,,,,,,
177,https://img1.doubanio.com/view/subject/s/public/s3099438.jpg,渴望生活,https://book.douban.com/subject/3054821/,[美] 欧文·斯通 , 常涛 , 北京十月文艺出版社 , 2008-4 , 29.80元,9.2,11416,梵高悲惨而成就辉煌的人生,,,,,,,,,,,,,,,
178,https://img9.doubanio.com/view/subject/s/public/s3380714.jpg,额尔古纳河右岸,https://book.douban.com/subject/3311253/,迟子建 ,, 北京十月文艺出版社 , 2005-12 , 29.00元,9,23614,东北少数民族鄂温克人生存现状及百年沧桑,,,,,,,,,,,,,,,
179,https://img9.doubanio.com/view/subject/s/public/s1127135.jpg,情书,https://book.douban.com/subject/1080370/,[日] 岩井俊二 , 穆晓芳 , 天津人民出版社 , 2004-7 , 18.00元,8.6,104130,一场同名同姓的误会，两段可贵的爱情,,,,,,,,,,,,,,,
180,https://img1.doubanio.com/view/subject/s/public/s4243447.jpg,送你一颗子弹,https://book.douban.com/subject/4238362/,刘瑜 ,, 上海三联书店 , 2010-1 , 25.00元,8.6,140999,在这本书里，被“审视”的东西杂七杂八,,,,,,,,,,,,,,,
181,https://img1.doubanio.com/view/subject/s/public/s26546959.jpg,一桩事先张扬的凶杀案,https://book.douban.com/subject/24382569/,[哥伦比亚] 加西亚·马尔克斯 , 魏然 , 南海出版公司 , 2013-6 , 25.00元,8.7,43841,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯,,,,,,,,,,,,,,,
182,https://img1.doubanio.com/view/subject/s/public/s3435158.jpg,罗生门,https://book.douban.com/subject/3136271/,[日] 芥川龙之介 , 林少华 , 上海译文出版社 , 2008-7 , 12.00元,8.7,66640,人生，远比地狱更像地狱,,,,,,,,,,,,,,,
183,https://img9.doubanio.com/view/subject/s/public/s34097535.jpg,倚天屠龙记,https://book.douban.com/subject/1070851/,金庸 ,, 生活·读书·新知三联书店 , 1999-04 ,47,8.7,59129,不识张郎是张郎,,,,,,,,,,,,,,,
184,https://img1.doubanio.com/view/subject/s/public/s34157889.jpg,理想国,https://book.douban.com/subject/1004821/,[古希腊] 柏拉图 , 郭斌和 , 商务印书馆 , 1986-8 , 28.00元,8.8,34259,人类历史上最早的乌托邦,,,,,,,,,,,,,,,
185,https://img1.doubanio.com/view/subject/s/public/s2563279.jpg,雨季不再来,https://book.douban.com/subject/2136140/,三毛 ,, 北京十月文艺出版社 , 2007-7 , 28.00元,8.8,53055,三毛少女时代的成长感受,,,,,,,,,,,,,,,
186,https://img2.doubanio.com/view/subject/s/public/s29675003.jpg,天生有罪,https://book.douban.com/subject/30125030/,[南非] 特雷弗·诺亚 , 董帅 , 北京联合出版公司 , 2018-2-1 ,58,9.1,17316,,,,,,,,,,,,,,,,
187,https://img1.doubanio.com/view/subject/s/public/s1469589.jpg,野火集,https://book.douban.com/subject/1426971/,龙应台 ,, 文汇出版社 , 2005-8 , 25.00元,8.7,34564,中国人，你为什么不生气,,,,,,,,,,,,,,,
188,https://img1.doubanio.com/view/subject/s/public/s33710398.jpg,平面国,https://book.douban.com/subject/35170896/,埃德温·A·艾勃特 , 鲁冬旭 , 上海文化出版社 , 2020-8 , 39.80元,9.2,14121,,,,,,,,,,,,,,,,
189,https://img1.doubanio.com/view/subject/s/public/s3696740.jpg,银河系漫游指南,https://book.douban.com/subject/1394364/,[英] 道格拉斯·亚当斯 , 徐百柯 , 四川科学技术出版社 , 2005-6 , 16.00元,8.8,21488,一场穿越银河的冒险,,,,,,,,,,,,,,,
190,https://img1.doubanio.com/view/subject/s/public/s1683067.jpg,尼罗河上的惨案,https://book.douban.com/subject/1818347/,[英] 阿加莎·克里斯蒂 , 宫英海 , 人民文学出版社 , 2006-5 , 22.00元,8.7,47288,阿加莎·克里斯蒂代表作,,,,,,,,,,,,,,,
191,https://img1.doubanio.com/view/subject/s/public/s33779178.jpg,西线无战事,https://book.douban.com/subject/35272817/,[德] 埃里希·玛丽亚·雷马克 , 姜乙 , 上海文艺出版社 , 2021-1 ,49,9.5,12834,,,,,,,,,,,,,,,,
192,https://img1.doubanio.com/view/subject/s/public/s23579217.jpg,雷雨,https://book.douban.com/subject/1013416/,曹禺 ,, 人民文学出版社 , 1999-05 ,9.2,8.7,75480,一幕人生大悲剧，在一个雷雨夜爆发,,,,,,,,,,,,,,,
193,https://img1.doubanio.com/view/subject/s/public/s2142329.jpg,孙子兵法,https://book.douban.com/subject/1949420/,孙武 , 郭化若 , 上海古籍出版社 , 2006-7 , 20.00元,9.4,12490,我国最古老最杰出的一部兵书,,,,,,,,,,,,,,,
194,https://img1.doubanio.com/view/subject/s/public/s3286369.jpg,荒原狼,https://book.douban.com/subject/3131626/,[德]赫尔曼·黑塞 , 赵登荣 , 上海译文出版社 , 2008-7 ,13,9,21208,“超现实主义”风格作品，德国的《尤利西斯》,,,,,,,,,,,,,,,
195,https://img9.doubanio.com/view/subject/s/public/s26720726.jpg,最好的我们,https://book.douban.com/subject/24754316/,八月长安 ,, 湖南文艺出版社 , 2013-8-5 ,55,8.7,70057,耿耿余淮,,,,,,,,,,,,,,,
196,https://img2.doubanio.com/view/subject/s/public/s33984963.jpg,从零开始的女性主义,https://book.douban.com/subject/35523099/,[日本] 上野千鹤子 , 吕灵芝 , 北京联合出版公司 , 2021-9 , 52.00元,8.7,55176,,,,,,,,,,,,,,,,
197,https://img9.doubanio.com/view/subject/s/public/s5804746.jpg,论语,https://book.douban.com/subject/1964774/,刘胜利 ,, 中华书局 , 2006-12 , 9.80元,9.1,22226,仁远乎哉？我欲仁，斯仁至矣,,,,,,,,,,,,,,,
198,https://img1.doubanio.com/view/subject/s/public/s4293097.jpg,你好，旧时光（上 下）,https://book.douban.com/subject/4166819/,八月长安 ,, 新世界出版社 , 2009-12 , 39.80元,8.7,47421,原作名切题,,,,,,,,,,,,,,,
199,https://img2.doubanio.com/view/subject/s/public/s33638812.jpg,地下室手记,https://book.douban.com/subject/34990839/,(俄罗斯) 陀思妥耶夫斯基 , 曾思艺 , 浙江文艺出版社 , 2020-5 ,39.8,9.3,15565,,,,,,,,,,,,,,,,
200,https://img1.doubanio.com/view/subject/s/public/s1070937.jpg,一千零一夜,https://book.douban.com/subject/1035848/,纳训 ,, 人民文学出版社 , 2003-01 ,22,8.7,56685,阿拉伯地区的古代民间传说,,,,,,,,,,,,,,,
201,https://img1.doubanio.com/view/subject/s/public/s1436519.jpg,水浒传（全二册）,https://book.douban.com/subject/1008357/,[明] 施耐庵 ,, 人民文学出版社 , 1997-1 , 50.60元,8.7,73766,替天行道,,,,,,,,,,,,,,,
202,https://img2.doubanio.com/view/subject/s/public/s28622011.jpg,雕刻时光,https://book.douban.com/subject/26435510/,[苏] 安德烈·塔可夫斯基 , 张晓东 , 南海出版公司 , 2016-5 , 45.00元,9.5,7768,,,,,,,,,,,,,,,,
203,https://img2.doubanio.com/view/subject/s/public/s29423902.jpg,当呼吸化为空气,https://book.douban.com/subject/26896859/,[美] 保罗·卡拉尼什 , 何雨珈 , 浙江文艺出版社 , 2016-12 , 48.00元,8.9,26823,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气,,,,,,,,,,,,,,,
204,https://img1.doubanio.com/view/subject/s/public/s2897060.jpg,象棋的故事,https://book.douban.com/subject/2158684/,[奥] 斯蒂芬·茨威格 , 张玉书 , 上海译文出版社 , 2007-7 , 23.00元,9.1,12265,纳粹法西斯对人心灵的折磨及摧残,,,,,,,,,,,,,,,
205,https://img2.doubanio.com/view/subject/s/public/s1738643.jpg,枪炮、病菌与钢铁,https://book.douban.com/subject/1813841/,[美] 贾雷德·戴蒙德 , 谢延光 , 上海译文出版社 , 2006-4-1 , 45.00元,8.7,48019,人类社会的命运,,,,,,,,,,,,,,,
206,https://img1.doubanio.com/view/subject/s/public/s3993878.jpg,亲爱的安德烈,https://book.douban.com/subject/3369793/,龙应台 ,, 人民文学出版社 , 2008-12 ,26,8.6,119717,弭平代沟，跨越文化阻隔,,,,,,,,,,,,,,,
207,https://img9.doubanio.com/view/subject/s/public/s28033064.jpg,你一生的故事,https://book.douban.com/subject/26295448/,[美] 特德·姜 , 李克勤 , 译林出版社 , 2015-5 , 36.00元,8.7,33696,特德·姜科幻小说集,,,,,,,,,,,,,,,
208,https://img2.doubanio.com/view/subject/s/public/s27264181.jpg,解忧杂货店,https://book.douban.com/subject/25862578/,[日] 东野圭吾 , 李盈春 , 南海出版公司 , 2014-5 , 39.50元,8.5,740654,现代人内心流失的东西，这家杂货店能帮你找回,,,,,,,,,,,,,,,
209,https://img1.doubanio.com/view/subject/s/public/s3984108.jpg,目送,https://book.douban.com/subject/3995526/,龙应台 ,, 生活·读书·新知三联书店 , 2009-10 , 39.00元,8.6,208329,不必追,,,,,,,,,,,,,,,
210,https://img2.doubanio.com/view/subject/s/public/s1024472.jpg,顾城的诗,https://book.douban.com/subject/1033825/,顾城 ,, 人民文学出版社 , 1998-12 ,20,8.8,25243,火焰是我们诗歌唯一的读者,,,,,,,,,,,,,,,
211,https://img9.doubanio.com/view/subject/s/public/s28284246.jpg,银河帝国：基地七部曲,https://book.douban.com/subject/26389895/,[美] 艾萨克·阿西莫夫 , 叶李华 , 江苏凤凰文艺出版社 , 2015-10-1 , 328.00元,9.5,13711,阿西莫夫经典科幻小说,,,,,,,,,,,,,,,
212,https://img9.doubanio.com/view/subject/s/public/s29417056.jpg,现代艺术150年,https://book.douban.com/subject/26854318/,[英] 威尔·贡培兹 , 王烁 , 广西师范大学出版社 , 2017-3-1 , 65.00元,9.2,13348,,,,,,,,,,,,,,,,
213,https://img9.doubanio.com/view/subject/s/public/s5765615.jpg,庄子,https://book.douban.com/subject/2046236/,孙通海 译注 , 方勇 译注 , 中华书局 , 2007-04 , 20.00元,9.4,10860,野马也，尘埃也，生物之以息相吹也,,,,,,,,,,,,,,,
214,https://img1.doubanio.com/view/subject/s/public/s1146040.jpg,骆驼祥子,https://book.douban.com/subject/1043815/,老舍 ,, 人民文学出版社 , 2000-3-1 ,12,8.6,197525,旧中国老北京贫苦市民的典型命运,,,,,,,,,,,,,,,
215,https://img1.doubanio.com/view/subject/s/public/s33562530.jpg,檀香刑,https://book.douban.com/subject/26905337/,莫言 ,, 浙江文艺出版社 , 2017-1 , 56.00元,9.3,22023,,,,,,,,,,,,,,,,
